Year,Season,District,Crop,Area_Hectares,Production_Tonnes,Yield_KgPerHa,Rainfall_mm,Min_Temperature_C,Max_Temperature_C,Humidity_Percent,Soil_pH,Organic_Carbon_Percent,Nitrogen_KgPerHa,Phosphorus_KgPerHa,Potassium_KgPerHa,Soil_Type,Irrigation_Type,Pest_Incidence_Score,Urea_Applied_KgPerHa,DAP_Applied_KgPerHa,Potash_Applied_KgPerHa
2015,Kharif,Chandrapur,Groundnut,2060,3532,1715,577.58,21.16,35.38,60.49,6.21,1.02,185.71,29.58,158.11,Black Soil,Rainfed,5,110.32,86.48,77.76
2015,Kharif,Dhule,Groundnut,603,1055,1750,1101.16,23.21,35.63,82.77,7.25,0.6,315.02,20.89,125.48,Laterite Soil,Rainfed,5,86.28,90.27,33.17
2015,Kharif,Gadchiroli,Groundnut,1878,2351,1252,809.97,23.71,35.59,70.06,6.44,0.88,234.34,13.97,264.09,Red Soil,Irrigated,5,141.43,38.24,54.59
2015,Kharif,Gondia,Groundnut,2446,4889,1999,877.93,23.0,35.32,64.38,7.83,0.68,226.63,25.57,127.51,Black Soil,Irrigated,2,59.03,83.97,24.09
2015,Kharif,Hingoli,Groundnut,1762,3316,1882,1163.27,20.68,33.87,66.75,7.08,0.45,318.31,35.39,272.84,Black Soil,Irrigated,1,60.66,35.26,63.69
2015,Kharif,Jalgaon,Groundnut,592,832,1407,617.72,22.95,32.89,62.29,7.83,0.42,340.05,23.38,149.62,Red Soil,Drip,4,125.9,80.69,58.23
2015,Kharif,Jalna,Groundnut,1111,2386,2148,427.16,23.49,32.38,83.11,7.94,1.15,244.84,35.86,255.13,Black Soil,Drip,0,115.02,55.53,53.64
2015,Kharif,Kolhapur,Groundnut,1841,2476,1345,655.0,23.13,37.09,75.4,6.47,0.32,324.02,10.64,259.95,Red Soil,Sprinkler,2,57.0,30.66,23.16
2015,Kharif,Latur,Groundnut,856,1230,1438,669.1,22.61,35.86,60.08,6.93,0.57,320.56,31.47,214.26,Black Soil,Sprinkler,0,60.95,57.41,27.47
2015,Kharif,Mumbai City,Groundnut,2848,4844,1701,1191.35,23.72,30.52,70.04,7.68,0.51,316.13,13.61,127.51,Black Soil,Rainfed,1,127.96,54.51,23.47
2015,Kharif,Nagpur,Groundnut,2287,4139,1810,770.7,23.11,35.98,60.87,7.79,1.07,241.49,21.74,163.67,Black Soil,Rainfed,1,136.21,86.67,59.31
2015,Kharif,Nanded,Groundnut,1452,2214,1525,464.84,21.1,35.47,61.9,7.7,0.75,246.12,27.77,251.95,Black Soil,Irrigated,2,136.45,81.37,51.28
2015,Kharif,Nandurbar,Groundnut,2781,5803,2087,894.89,23.76,31.27,82.02,7.74,0.33,315.16,13.87,173.62,Red Soil,Rainfed,3,105.62,82.96,35.52
2015,Kharif,Nashik,Groundnut,1682,2319,1379,407.26,24.09,31.03,67.08,6.04,0.69,318.02,21.76,148.72,Laterite Soil,Irrigated,3,118.79,34.75,38.06
2015,Kharif,Osmanabad,Groundnut,1618,2436,1506,1175.1,23.75,31.04,78.96,6.05,0.32,214.72,24.66,243.27,Red Soil,Rainfed,5,96.85,96.1,26.13
2015,Kharif,Parbhani,Groundnut,1539,3222,2094,1170.59,20.16,35.85,82.74,7.71,1.17,302.02,23.27,169.91,Black Soil,Irrigated,1,71.31,32.18,59.1
2015,Kharif,Pune,Groundnut,1942,2646,1363,1016.74,24.22,36.09,75.66,6.26,0.33,334.17,28.5,247.45,Black Soil,Rainfed,0,110.73,47.33,53.5
2015,Kharif,Raigad,Groundnut,1353,2158,1595,771.68,23.4,33.16,84.37,7.44,0.89,301.41,38.58,265.25,Red Soil,Irrigated,0,74.2,99.07,28.55
2015,Kharif,Ratnagiri,Groundnut,1851,3576,1932,1106.03,20.41,36.6,68.95,6.64,1.18,190.17,30.8,251.43,Black Soil,Irrigated,2,62.42,92.74,55.69
2015,Kharif,Sangli,Groundnut,3031,6265,2067,464.09,24.47,34.38,80.43,6.9,0.88,255.28,31.95,133.06,Black Soil,Rainfed,4,97.93,73.1,39.74
2015,Kharif,Satara,Groundnut,1124,1607,1430,833.98,22.47,30.65,70.08,6.44,0.68,190.72,35.21,147.87,Alluvial Soil,Rainfed,3,112.88,81.47,66.06
2015,Kharif,Solapur,Groundnut,3001,5401,1800,1120.56,22.11,32.21,74.81,7.82,0.49,274.59,28.95,237.3,Black Soil,Irrigated,5,67.97,46.63,78.28
2015,Kharif,Thane,Groundnut,2852,4871,1708,687.39,22.96,31.31,69.78,7.94,0.53,281.35,19.76,243.76,Black Soil,Sprinkler,2,138.37,60.94,39.85
2015,Kharif,Wardha,Groundnut,1303,2463,1891,703.49,23.03,32.85,73.34,7.56,0.93,239.27,35.93,209.3,Red Soil,Rainfed,5,55.71,67.18,76.2
2015,Kharif,Washim,Groundnut,3055,4759,1558,1172.09,20.02,37.61,75.98,7.74,0.71,253.12,24.67,226.7,Black Soil,Rainfed,4,64.35,95.79,63.97
2015,Kharif,Yavatmal,Groundnut,1971,3244,1646,1070.49,24.72,35.47,72.43,7.24,1.08,264.12,10.91,268.95,Red Soil,Irrigated,2,144.09,87.88,60.02
2015,Kharif,Ahmednagar,Sesame,741,456,616,853.61,23.69,37.03,70.1,6.65,0.9,311.57,32.87,247.65,Black Soil,Drip,5,104.45,30.4,39.48
2015,Kharif,Akola,Sesame,646,349,541,458.56,23.02,35.35,75.49,6.93,0.64,322.67,25.57,196.67,Black Soil,Rainfed,3,64.9,66.86,34.76
2015,Kharif,Amravati,Sesame,362,125,346,917.98,24.49,31.95,83.18,6.12,1.14,220.32,13.04,197.74,Black Soil,Rainfed,2,142.96,67.26,54.86
2015,Kharif,Beed,Sesame,725,429,592,545.15,22.63,35.67,62.67,7.13,0.53,342.59,24.51,248.96,Red Soil,Rainfed,1,61.23,30.18,58.28
2015,Kharif,Bhandara,Sesame,110,56,515,604.52,21.51,35.86,81.28,7.34,1.03,303.33,14.49,187.83,Black Soil,Rainfed,3,136.28,45.17,25.74
2015,Kharif,Buldhana,Sesame,579,300,519,877.64,23.38,33.54,71.14,7.45,0.31,218.22,34.56,216.52,Black Soil,Sprinkler,4,57.94,36.0,73.65
2015,Kharif,Chandrapur,Sesame,667,309,464,1104.06,23.25,34.26,68.11,6.67,0.9,348.83,29.86,209.25,Red Soil,Rainfed,5,106.23,97.03,30.52
2015,Kharif,Dhule,Sesame,684,202,296,931.93,23.98,37.42,65.87,6.8,0.44,348.5,37.81,206.39,Laterite Soil,Rainfed,5,75.7,85.15,71.88
2015,Kharif,Gadchiroli,Sesame,726,254,351,677.06,21.2,34.08,80.63,6.56,1.15,324.67,14.85,245.8,Red Soil,Rainfed,3,70.85,95.14,26.98
2015,Kharif,Gondia,Sesame,723,208,288,464.74,22.01,31.39,77.37,6.69,1.18,278.19,34.67,141.2,Laterite Soil,Sprinkler,5,63.92,92.88,69.76
2015,Kharif,Hingoli,Sesame,856,368,430,839.62,24.83,33.46,67.8,7.01,0.7,171.13,29.22,154.57,Red Soil,Irrigated,2,88.65,69.51,31.51
2015,Kharif,Jalgaon,Sesame,528,225,428,480.84,23.46,30.5,72.74,7.99,1.03,273.04,19.19,219.82,Red Soil,Rainfed,4,138.66,61.48,31.68
2015,Kharif,Jalna,Sesame,725,366,505,1032.27,22.91,35.45,64.74,7.24,0.59,316.86,28.88,151.82,Black Soil,Rainfed,0,60.97,68.36,47.26
2015,Kharif,Kolhapur,Sesame,586,296,506,715.58,22.3,36.28,82.3,7.91,1.01,213.08,30.64,190.02,Black Soil,Drip,1,75.31,84.68,69.51
2015,Kharif,Latur,Sesame,153,52,345,430.42,23.73,35.27,80.05,6.21,0.33,251.72,21.63,193.91,Alluvial Soil,Sprinkler,2,116.14,42.96,30.45
2015,Kharif,Mumbai City,Sesame,454,256,566,582.27,24.88,35.34,60.26,6.51,0.53,163.85,38.79,196.52,Laterite Soil,Rainfed,3,79.28,98.6,56.11
2015,Kharif,Nagpur,Sesame,312,135,435,840.07,21.94,31.31,66.84,7.86,0.91,249.21,10.38,278.79,Red Soil,Rainfed,0,75.84,68.08,58.16
2015,Kharif,Nanded,Sesame,802,332,414,615.47,22.7,35.82,62.7,7.37,0.38,343.03,24.65,144.11,Black Soil,Rainfed,4,109.03,65.59,37.85
2015,Kharif,Nandurbar,Sesame,185,68,368,846.43,24.06,35.93,82.04,6.56,0.47,325.96,29.73,169.75,Red Soil,Drip,2,68.8,54.88,67.03
2015,Kharif,Nashik,Sesame,630,190,302,519.11,21.53,37.01,84.91,6.74,0.7,294.41,36.59,214.89,Black Soil,Rainfed,4,52.91,41.68,30.88
2015,Kharif,Osmanabad,Sesame,869,432,498,615.86,24.13,33.99,61.93,6.12,0.6,306.98,31.23,246.18,Red Soil,Rainfed,3,62.24,81.49,34.15
2015,Kharif,Parbhani,Sesame,574,320,558,542.6,23.43,37.93,78.68,7.48,1.16,190.59,26.97,276.74,Black Soil,Irrigated,5,133.17,49.11,51.08
2015,Kharif,Pune,Sesame,722,428,594,904.94,20.25,37.23,82.73,7.56,0.31,161.46,16.76,141.02,Black Soil,Sprinkler,0,145.66,34.83,23.42
2015,Kharif,Raigad,Sesame,289,128,446,614.51,20.78,36.82,61.16,7.24,0.81,219.18,19.46,243.5,Black Soil,Rainfed,2,146.34,69.21,76.21
2015,Kharif,Ratnagiri,Sesame,375,131,351,852.26,22.32,37.78,75.21,6.7,0.4,180.25,16.76,160.15,Laterite Soil,Rainfed,0,148.05,45.92,44.24
2015,Kharif,Sangli,Sesame,614,218,356,512.77,23.32,31.73,62.44,7.72,0.71,299.86,18.72,245.92,Black Soil,Rainfed,2,55.2,85.04,32.08
2015,Kharif,Satara,Sesame,174,93,536,529.3,21.28,37.57,74.0,7.5,0.8,260.5,12.82,174.99,Black Soil,Rainfed,2,60.55,75.97,69.33
2015,Kharif,Solapur,Sesame,661,267,404,716.78,24.58,34.26,63.95,7.39,1.01,213.35,35.72,264.98,Black Soil,Sprinkler,0,109.81,32.34,41.82
2015,Kharif,Thane,Sesame,533,192,361,788.29,20.61,35.8,68.08,7.99,1.18,281.23,13.89,229.9,Black Soil,Rainfed,3,139.03,35.56,63.89
2015,Kharif,Wardha,Sesame,287,136,474,1055.4,24.4,34.2,66.11,6.23,0.38,293.82,22.6,264.86,Red Soil,Rainfed,2,115.11,73.46,41.14
2015,Kharif,Washim,Sesame,334,104,312,1084.59,21.14,36.7,66.98,7.29,0.92,252.53,19.16,154.02,Black Soil,Rainfed,5,125.92,93.25,33.97
2015,Kharif,Yavatmal,Sesame,298,112,377,703.6,21.13,33.05,63.22,6.83,1.02,245.81,10.54,187.43,Black Soil,Sprinkler,5,135.83,50.46,74.65
2015,Rabi,Ahmednagar,Groundnut,1867,3715,1990,183.17,15.08,28.15,46.55,6.24,0.36,202.66,11.38,210.75,Black Soil,Drip,4,79.72,50.99,64.59
2015,Rabi,Akola,Groundnut,1455,1729,1189,116.94,16.31,29.01,59.76,6.5,0.5,247.67,32.13,204.04,Black Soil,Drip,1,137.9,70.02,51.05
2015,Rabi,Amravati,Groundnut,2594,4342,1674,287.03,13.56,30.52,59.19,7.35,0.42,196.84,33.6,275.32,Black Soil,Rainfed,2,124.36,65.44,58.05
2015,Rabi,Beed,Groundnut,2416,4426,1832,205.63,13.76,28.13,54.23,7.18,0.78,320.83,11.48,253.33,Laterite Soil,Rainfed,4,93.85,45.3,43.81
2015,Rabi,Bhandara,Groundnut,2387,4074,1707,218.86,10.36,28.15,67.88,6.33,0.65,295.97,36.47,227.35,Black Soil,Irrigated,0,132.38,96.85,69.27
2015,Rabi,Buldhana,Groundnut,1957,3870,1978,73.07,14.77,28.85,67.01,6.81,0.59,299.97,22.38,223.38,Red Soil,Drip,4,51.01,74.53,74.8
2015,Rabi,Chandrapur,Groundnut,1123,1628,1450,194.3,10.35,25.86,56.76,6.69,0.96,280.46,35.37,230.8,Black Soil,Irrigated,0,80.63,85.23,46.79
2015,Rabi,Dhule,Groundnut,2380,3022,1270,142.79,14.81,29.94,60.65,6.75,0.45,236.11,14.28,262.42,Black Soil,Rainfed,4,101.72,56.52,20.4
2015,Rabi,Gadchiroli,Groundnut,2050,3198,1560,189.92,10.84,26.17,69.16,6.46,1.18,256.38,14.07,135.89,Black Soil,Sprinkler,2,66.0,31.63,65.37
2015,Rabi,Gondia,Groundnut,830,1619,1951,200.74,16.61,31.89,48.65,7.92,0.65,227.1,20.21,206.63,Black Soil,Rainfed,1,66.83,47.28,70.31
2015,Rabi,Hingoli,Groundnut,1972,3172,1609,136.82,14.64,25.97,53.32,7.25,0.74,230.36,39.82,260.85,Red Soil,Rainfed,1,96.14,81.16,28.88
2015,Rabi,Jalgaon,Groundnut,2410,3140,1303,247.63,11.0,30.56,48.27,7.75,1.15,179.76,23.88,276.96,Black Soil,Drip,1,99.14,66.57,53.76
2015,Rabi,Jalna,Groundnut,969,1975,2039,193.38,17.65,26.4,43.28,7.71,0.7,319.39,36.79,129.99,Laterite Soil,Rainfed,4,147.15,45.45,64.04
2015,Rabi,Kolhapur,Groundnut,494,621,1258,233.26,14.23,30.55,69.72,6.4,1.2,167.96,10.07,127.07,Black Soil,Irrigated,4,50.57,95.6,69.32
2015,Rabi,Latur,Groundnut,734,1236,1685,66.5,12.79,25.78,64.25,7.9,0.37,341.02,25.68,167.93,Black Soil,Rainfed,1,74.22,63.48,28.71
2015,Rabi,Mumbai City,Groundnut,1733,2921,1686,151.28,17.25,27.25,54.29,6.45,0.88,345.8,28.1,177.25,Red Soil,Rainfed,0,121.98,90.69,47.24
2015,Rabi,Nagpur,Groundnut,2126,3488,1641,79.99,17.33,30.04,52.04,6.32,1.09,314.76,31.65,163.45,Black Soil,Rainfed,0,101.11,33.28,36.57
2015,Rabi,Nanded,Groundnut,2809,3882,1382,266.64,14.57,31.35,68.29,6.84,0.64,337.26,30.25,138.56,Black Soil,Rainfed,3,113.27,79.27,20.26
2015,Rabi,Nandurbar,Groundnut,683,1260,1846,168.85,15.07,32.0,43.14,7.0,0.65,323.16,24.28,137.76,Red Soil,Irrigated,0,55.24,83.73,44.99
2015,Rabi,Nashik,Groundnut,1709,2749,1609,201.94,12.36,25.96,59.55,7.48,0.58,278.97,21.85,234.11,Black Soil,Drip,3,54.3,76.68,69.4
2015,Rabi,Osmanabad,Groundnut,2066,3452,1671,54.83,10.99,27.9,54.79,6.81,0.78,269.03,10.3,194.26,Alluvial Soil,Rainfed,5,126.23,61.84,36.04
2015,Rabi,Parbhani,Groundnut,2348,3911,1666,116.4,10.14,27.05,63.19,7.04,0.61,224.35,10.04,167.97,Red Soil,Sprinkler,2,52.36,92.9,66.99
2015,Rabi,Pune,Groundnut,2040,3816,1871,168.35,10.48,29.7,57.47,7.98,0.52,256.15,29.53,223.13,Red Soil,Irrigated,0,72.54,43.71,28.45
2015,Rabi,Raigad,Groundnut,2174,4080,1877,134.34,15.8,28.77,41.82,7.38,0.92,336.12,24.92,156.84,Black Soil,Rainfed,5,102.97,46.93,50.04
2015,Rabi,Ratnagiri,Groundnut,2976,5719,1922,274.42,15.39,25.96,69.85,7.05,0.65,281.82,13.27,221.85,Black Soil,Rainfed,2,148.11,69.87,35.57
2015,Rabi,Sangli,Groundnut,1341,1719,1282,288.22,17.74,27.75,65.63,7.55,0.58,196.41,23.75,245.02,Alluvial Soil,Irrigated,4,99.89,30.85,20.54
2015,Rabi,Satara,Groundnut,2310,3247,1406,275.35,11.23,31.93,68.65,6.99,0.76,246.31,29.06,134.52,Black Soil,Rainfed,2,77.55,73.54,79.55
2015,Rabi,Solapur,Groundnut,1023,1727,1689,259.95,16.01,26.6,68.69,6.3,0.91,194.98,22.94,235.07,Red Soil,Rainfed,3,125.88,49.77,41.18
2015,Rabi,Thane,Groundnut,2871,4762,1659,101.17,14.73,26.3,49.95,7.71,0.49,164.23,12.07,270.53,Red Soil,Rainfed,2,133.58,53.25,61.62
2015,Rabi,Wardha,Groundnut,763,1348,1767,186.68,14.26,29.13,41.84,6.72,0.95,190.11,16.11,121.61,Black Soil,Drip,5,122.93,97.68,33.46
2015,Rabi,Washim,Groundnut,2391,3012,1260,275.49,16.45,31.89,62.63,6.79,0.83,282.2,12.35,207.12,Red Soil,Rainfed,5,108.38,96.66,22.55
2015,Rabi,Yavatmal,Groundnut,2001,2499,1249,283.23,16.62,29.88,61.43,6.92,1.13,288.92,31.87,257.87,Black Soil,Drip,4,64.22,44.94,59.91
2015,Rabi,Ahmednagar,Sunflower,1566,1154,737,170.63,14.05,27.71,67.2,6.03,1.0,174.88,33.93,218.55,Laterite Soil,Rainfed,2,100.11,79.43,52.06
2015,Rabi,Akola,Sunflower,1720,1396,812,82.93,16.92,26.1,49.29,6.58,1.08,284.54,33.9,160.07,Red Soil,Rainfed,2,112.8,47.33,29.77
2015,Rabi,Amravati,Sunflower,1613,1248,774,201.38,11.98,27.49,42.52,6.67,0.91,164.42,16.16,181.03,Alluvial Soil,Irrigated,5,128.1,84.97,56.07
2015,Rabi,Beed,Sunflower,880,549,624,294.74,14.44,26.33,57.47,6.41,0.77,164.81,28.16,202.69,Red Soil,Irrigated,1,118.98,40.08,55.72
2015,Rabi,Bhandara,Sunflower,338,428,1268,143.31,14.51,28.15,60.16,7.17,0.77,199.9,10.06,147.85,Black Soil,Rainfed,4,144.47,81.56,72.98
2015,Rabi,Buldhana,Sunflower,1319,1563,1185,185.5,17.52,26.54,61.77,7.23,0.97,192.93,29.95,199.69,Red Soil,Rainfed,3,124.84,94.02,46.04
2015,Rabi,Chandrapur,Sunflower,1778,1052,592,228.51,10.73,26.39,66.32,7.48,0.31,199.68,16.43,163.33,Black Soil,Rainfed,4,92.48,45.07,55.83
2015,Rabi,Dhule,Sunflower,1869,1661,889,178.4,12.03,31.91,48.74,7.54,0.68,191.24,33.99,173.38,Laterite Soil,Sprinkler,4,116.65,85.12,47.26
2015,Rabi,Gadchiroli,Sunflower,457,421,923,154.85,14.0,30.5,57.97,6.4,0.83,231.53,24.09,124.53,Black Soil,Rainfed,2,90.97,75.86,35.61
2015,Rabi,Gondia,Sunflower,894,711,796,122.3,12.48,26.75,55.45,7.07,0.62,220.76,34.86,246.29,Black Soil,Sprinkler,4,82.67,54.81,50.34
2015,Rabi,Hingoli,Sunflower,1187,1368,1153,248.62,17.08,27.41,53.86,6.83,0.31,209.19,23.78,185.77,Red Soil,Rainfed,4,66.53,30.14,63.12
2015,Rabi,Jalgaon,Sunflower,999,866,867,195.54,10.95,26.48,49.33,6.33,0.52,203.52,20.07,239.9,Red Soil,Sprinkler,0,91.58,60.03,52.45
2015,Rabi,Jalna,Sunflower,1111,1148,1034,223.02,11.65,27.74,66.87,6.41,0.76,233.85,10.54,246.84,Black Soil,Rainfed,4,112.84,78.2,35.2
2015,Rabi,Kolhapur,Sunflower,1012,1126,1113,162.82,11.47,30.98,66.48,6.93,0.37,227.57,34.11,264.28,Black Soil,Rainfed,5,97.93,42.72,64.58
2015,Rabi,Latur,Sunflower,476,509,1071,189.76,12.57,26.54,50.52,6.75,0.36,223.91,23.93,235.64,Red Soil,Irrigated,2,87.92,88.2,70.54
2015,Rabi,Mumbai City,Sunflower,648,545,842,239.63,10.12,26.45,61.4,6.77,0.9,219.39,21.72,145.39,Black Soil,Irrigated,4,115.41,92.24,54.73
2015,Rabi,Nagpur,Sunflower,1601,1621,1013,199.94,16.89,31.08,61.73,7.49,0.8,266.93,14.01,191.02,Black Soil,Sprinkler,0,77.19,78.47,35.84
2015,Rabi,Nanded,Sunflower,1662,2253,1356,246.68,16.19,30.23,44.52,6.43,0.72,202.8,22.46,262.15,Laterite Soil,Irrigated,5,116.68,52.61,73.88
2015,Rabi,Nandurbar,Sunflower,459,486,1060,256.66,17.22,31.53,64.04,7.35,0.31,243.17,27.13,168.64,Black Soil,Sprinkler,2,86.04,84.86,53.97
2015,Rabi,Nashik,Sunflower,1480,1015,686,284.6,13.32,27.82,51.72,6.14,0.87,296.6,30.28,142.15,Red Soil,Rainfed,2,142.91,53.93,51.66
2015,Rabi,Osmanabad,Sunflower,1633,1508,924,163.69,15.4,29.74,51.19,7.88,0.45,250.07,30.73,231.54,Red Soil,Rainfed,2,124.78,86.72,44.83
2015,Rabi,Parbhani,Sunflower,1316,1439,1094,259.54,16.42,31.73,56.08,6.98,0.66,180.74,27.18,164.32,Alluvial Soil,Rainfed,3,85.49,33.64,21.9
2015,Rabi,Pune,Sunflower,690,486,705,250.66,17.98,25.21,66.92,7.25,1.18,243.0,35.42,129.98,Black Soil,Rainfed,3,131.7,89.68,76.28
